feature_map_family,ansatz_family,num_qubits,depth,topology,seed,noise_condition,expressibility_kl,meyer_wallach,gradient_variance,kta,svm_accuracy
local_z,rotation_only,10,1,circular,0,noiseless,0.21834682544405137,6.167288901792744e-15,0.4205367260184058,0.18205511461837098,0.4
local_z,rotation_only,10,1,circular,1,noiseless,0.3596627139939541,6.333822355486518e-15,0.24124525358917512,0.18205511461837098,0.4
local_z,rotation_only,10,1,circular,2,noiseless,0.14065692245246147,6.202816038580749e-15,0.26572817621435,0.18205511461837098,0.4
local_z,rotation_only,10,8,linear,0,noiseless,2.909183880435613,5.5663251785631474e-14,0.4867247436601523,0.18457028667913633,0.4
local_z,rotation_only,10,8,linear,1,noiseless,3.0189789050817133,5.592748486549226e-14,0.31301958094745674,0.18457028667913633,0.4
local_z,rotation_only,10,8,linear,2,noiseless,2.5858704364053056,5.546896275632207e-14,0.38561838534991916,0.18457028667913633,0.4
local_z,rotation_only,10,8,circular,0,noiseless,2.909183880435613,5.5663251785631474e-14,0.4867247436601523,0.18457028667913633,0.4
local_z,rotation_only,10,8,circular,1,noiseless,3.0189789050817133,5.592748486549226e-14,0.31301958094745674,0.18457028667913633,0.4
local_z,rotation_only,10,8,circular,2,noiseless,2.5858704364053056,5.546896275632207e-14,0.38561838534991916,0.18457028667913633,0.4
local_z,real_amplitudes,4,1,linear,0,noiseless,0.6919599044087031,2.674527266322002e-15,0.30589062822404217,0.1949855334643887,0.5333333333333333
local_z,real_amplitudes,4,1,linear,1,noiseless,0.6392728033209696,2.7200464103316335e-15,0.11463959485533291,0.1949855334643887,0.5333333333333333
local_z,real_amplitudes,4,1,linear,2,noiseless,0.6002207168053445,2.687849942617504e-15,0.19068154499686696,0.1949855334643887,0.5333333333333333
local_z,real_amplitudes,4,1,circular,0,noiseless,0.6919599044087031,2.674527266322002e-15,0.08710560411384705,0.1949855334643887,0.5333333333333333
local_z,real_amplitudes,4,1,circular,1,noiseless,0.6392728033209696,2.7200464103316335e-15,0.011593232751420369,0.1949855334643887,0.5333333333333333
local_z,real_amplitudes,4,1,circular,2,noiseless,0.6002207168053445,2.687849942617504e-15,0.06290771779434527,0.1949855334643887,0.5333333333333333
local_z,real_amplitudes,4,8,linear,0,noiseless,0.5990193470024479,2.2256640974660513e-14,0.038527254346910435,0.21425963023092265,0.4
local_z,real_amplitudes,4,8,linear,1,noiseless,0.5528336679523429,2.2762902673889585e-14,0.024319899939083043,0.21425963023092265,0.4
local_z,real_amplitudes,4,8,linear,2,noiseless,0.6915659224924395,2.2416513090206535e-14,0.04323313021854149,0.21425963023092265,0.4
local_z,real_amplitudes,4,8,circular,0,noiseless,0.5990193470024479,2.2256640974660513e-14,0.03383952218774253,0.21425963023092265,0.4
local_z,real_amplitudes,4,8,circular,1,noiseless,0.5528336679523429,2.2762902673889585e-14,0.023458164512099103,0.21425963023092265,0.4
local_z,real_amplitudes,4,8,circular,2,noiseless,0.6915659224924395,2.2416513090206535e-14,0.032772216920848675,0.21425963023092265,0.4
local_z,real_amplitudes,10,1,linear,0,noiseless,0.21834682544405137,6.167288901792744e-15,0.2980656385635061,0.18205511461837098,0.4
local_z,real_amplitudes,10,1,linear,1,noiseless,0.3596627139939541,6.333822355486518e-15,0.13657261564221954,0.18205511461837098,0.4
local_z,real_amplitudes,10,1,linear,2,noiseless,0.14065692245246147,6.202816038580749e-15,0.19048869665698695,0.18205511461837098,0.4
local_z,real_amplitudes,10,1,circular,0,noiseless,0.21834682544405137,6.167288901792744e-15,0.15750261970760943,0.18205511461837098,0.4
local_z,real_amplitudes,10,1,circular,1,noiseless,0.3596627139939541,6.333822355486518e-15,0.005509311619477335,0.18205511461837098,0.4
local_z,real_amplitudes,10,1,circular,2,noiseless,0.14065692245246147,6.202816038580749e-15,0.0692282826803668,0.18205511461837098,0.4
local_z,real_amplitudes,10,8,linear,0,noiseless,2.909183880435613,5.5663251785631474e-14,0.015517811136818792,0.18457028667913633,0.4
local_z,real_amplitudes,10,8,linear,1,noiseless,3.0189789050817133,5.592748486549226e-14,0.010156044452340706,0.18457028667913633,0.4
local_z,real_amplitudes,10,8,linear,2,noiseless,2.5858704364053056,5.546896275632207e-14,0.012672594844067728,0.18457028667913633,0.4
local_z,real_amplitudes,10,8,circular,0,noiseless,2.909183880435613,5.5663251785631474e-14,0.0005822877597861338,0.18457028667913633,0.4
local_z,real_amplitudes,10,8,circular,1,noiseless,3.0189789050817133,5.592748486549226e-14,0.0002941270626175541,0.18457028667913633,0.4
local_z,real_amplitudes,10,8,circular,2,noiseless,2.5858704364053056,5.546896275632207e-14,0.00045667722884086147,0.18457028667913633,0.4
cx_ry,rotation_only,4,1,linear,0,noiseless,0.5771422388841538,0.44694940269256883,0.03931197720044068,0.3714858423623112,0.6666666666666666
cx_ry,rotation_only,4,1,linear,1,noiseless,0.4514601284199195,0.4598880676237277,0.22861388814582234,0.3714858423623112,0.6666666666666666
cx_ry,rotation_only,4,1,linear,2,noiseless,0.7082145200951898,0.4503102495060608,0.07899809337928593,0.3714858423623112,0.6666666666666666
cx_ry,rotation_only,4,1,circular,0,noiseless,0.5771422388841538,0.6345220773185677,0.2501013831550084,0.3714858423623113,0.6666666666666666
cx_ry,rotation_only,4,1,circular,1,noiseless,0.4514601284199195,0.632888562220324,0.21995875098780332,0.3714858423623113,0.6666666666666666
cx_ry,rotation_only,4,1,circular,2,noiseless,0.7082145200951898,0.6503581469887751,0.012344960321114574,0.3714858423623113,0.6666666666666666
cx_ry,rotation_only,4,8,linear,0,noiseless,0.24954991951313243,0.6651037236148225,0.07932429889701167,0.15438738078793077,0.4
cx_ry,rotation_only,4,8,linear,1,noiseless,0.2290754303092396,0.6770165043134488,0.013785578970708263,0.15438738078793077,0.4
cx_ry,rotation_only,4,8,linear,2,noiseless,0.22912717237842817,0.6758990122195135,0.27955856420194614,0.15438738078793077,0.4
cx_ry,rotation_only,4,8,circular,0,noiseless,0.17692794098735654,0.758513734520982,0.002504894341677913,0.27203253360291774,0.5333333333333333
cx_ry,rotation_only,4,8,circular,1,noiseless,0.10674715846543417,0.7588371625245663,0.15287317655892316,0.27203253360291774,0.5333333333333333
cx_ry,rotation_only,4,8,circular,2,noiseless,0.1272375620116824,0.7691879891256775,0.05614732675380044,0.27203253360291774,0.5333333333333333
cx_ry,rotation_only,10,1,linear,0,noiseless,0.24628223869223198,0.6193218498444041,0.035013667274026494,0.20019508581723075,0.4
cx_ry,rotation_only,10,1,linear,1,noiseless,0.943422382401399,0.6219883911912172,0.21305119473516584,0.20019508581723075,0.4
cx_ry,rotation_only,10,1,linear,2,noiseless,0.6935542793853388,0.6353560936499071,0.07376284627706375,0.20019508581723075,0.4
cx_ry,rotation_only,10,1,circular,0,noiseless,0.24628223869223198,0.7132562665236614,0.01419390266760756,0.20019508581723078,0.4
cx_ry,rotation_only,10,1,circular,1,noiseless,0.943422382401399,0.7090972018817367,0.15309485338082549,0.20019508581723078,0.4
cx_ry,rotation_only,10,1,circular,2,noiseless,0.6935542793853388,0.7225076950006476,0.005780775422848381,0.20019508581723078,0.4
cx_ry,rotation_only,10,8,linear,0,noiseless,8.740648201398857e-10,0.9497127046448622,0.038875240795728405,0.18336627775125663,0.4
cx_ry,rotation_only,10,8,linear,1,noiseless,8.740648201398857e-10,0.9492340084543466,0.011746199334004382,0.18336627775125663,0.4
cx_ry,rotation_only,10,8,linear,2,noiseless,8.740648201398857e-10,0.950288839027598,0.0035945611332530015,0.18336627775125663,0.4
cx_ry,rotation_only,10,8,circular,0,noiseless,8.740648201398857e-10,0.9926822943823594,0.005740571430299094,0.18334435757375245,0.4
cx_ry,rotation_only,10,8,circular,1,noiseless,8.740648201398857e-10,0.992922494451227,0.002598347375796904,0.18334435757375245,0.4
